country,area
Russia,17098242
Canada,9984670
United States of America,9833517
China,9596960
Brazil,8515770
Australia,7741220
India,3287263
Argentina,2780400
Kazakhstan,2724900
Algeria,2381740
Dem. Rep. Congo,2344858
Greenland,2166086
Saudi Arabia,2149690
Mexico,1964375
Indonesia,1904569
Sudan,1861484
Libya,1759541
Iran,1648195
Mongolia,1564110
Peru,1285216
Chad,1284000
Niger,1267000
Angola,1246700
Mali,1240192
South Africa,1219090
Colombia,1141748
Ethiopia,1104300
Bolivia,1098581
Mauritania,1030700
Egypt,1001450
Tanzania,945087
Nigeria,923768
Venezuela,912050
Pakistan,881913
Namibia,825615
Mozambique,801590
Turkey,783562
Chile,756102
Zambia,752612
Myanmar,676578
Afghanistan,652230
S. Sudan,619745
France,551695
Somalia,637657
Central African Rep.,622984
Ukraine,603550
Madagascar,587041
Botswana,581730
Kenya,580367
Yemen,527968
Thailand,513120
Spain,505992
Turkmenistan,488100
Cameroon,475442
Papua New Guinea,462840
Sweden,450295
Uzbekistan,447400
Morocco,446550
Iraq,438317
Paraguay,406752
Zimbabwe,390757
Japan,377915
Germany,357022
Congo,342000
Finland,338145
Vietnam,331210
Malaysia,330803
Norway,323802
Côte d'Ivoire,322463
Poland,312696
Oman,309500
Italy,301340
Philippines,300000
Ecuador,283561
Burkina Faso,272967
New Zealand,268838
Gabon,267667
Guinea,245857
United Kingdom,243610
Uganda,241038
Ghana,238533
Romania,238397
Laos,236800
Guyana,214969
Belarus,207600
Kyrgyzstan,199951
Senegal,196722
Syria,185180
Cambodia,181035
Uruguay,176215
Somaliland,176120
Tunisia,163610
Suriname,163820
Bangladesh,147570
Nepal,147181
Tajikistan,143100
Greece,131957
Nicaragua,130373
North Korea,120538
Malawi,118484
Eritrea,117600
Benin,112622
Honduras,112492
Liberia,111369
Bulgaria,110879
Cuba,110860
Guatemala,108889
Iceland,103000
South Korea,100210
Hungary,93028
Portugal,92090
Jordan,89342
Serbia,88361
Azerbaijan,86600
Austria,83871
United Arab Emirates,83600
Czechia,78867
Panama,75417
Sierra Leone,71740
Ireland,70273
Georgia,69700
Sri Lanka,65610
Lithuania,65300
Latvia,64589
Togo,56785
Croatia,56594
Bosnia and Herz.,51197
Costa Rica,51100
Slovakia,49035
Dominican Rep.,48670
Estonia,45339
Denmark,43094
Netherlands,41543
Switzerland,41290
Bhutan,38394
Taiwan,36193
Moldova,33846
Belgium,30528
Lesotho,30355
Armenia,29743
Albania,28748
Solomon Is,28696
Burundi,27834
Haiti,27750
Rwanda,26338
North Macedonia,25713
Djibouti,23200
Belize,22966
El Salvador,21041
Israel,20770
Slovenia,20273
Fiji,18274
Kuwait,17818
eSwatini,17364
Timor-Leste,14874
Bahamas,13940
Montenegro,13812
Vanuatu,12189
Qatar,11586
Gambia,10689
Jamaica,10991
Lebanon,10452
Cyprus,9251
Puerto Rico,9104
Palestine,6020
Brunei,5765
Trinidad and Tobago,5128
Cape Verde,4033
Samoa,2831
Luxembourg,2586
Comoros,2235
Mauritius,2040
São Tomé and Príncipe,1001
Kiribati,811
Bahrain,778
Dominica,751
Tonga,747
Singapore,719
Federated States of Micronesia,702
Saint Lucia,616
Andorra,468
Palau,459
Seychelles,455
Antigua and Barbuda,442
Barbados,430
Saint Vincent and the Grenadines,389
Grenada,344
Malta,316
Maldives,298
Saint Kitts and Nevis,261
Marshall Islands,181
Liechtenstein,160
San Marino,61
Tuvalu,26
Nauru,21
Monaco,2
Vatican City,0.44