country,population
India,1417173173
China,1412175000
United States of America,333287557
Indonesia,275501339
Pakistan,235824862
Nigeria,206139587
Brazil,212559409
Bangladesh,164689383
Russia,145912025
Mexico,128932753
Japan,125960000
Ethiopia,114963588
Philippines,109581078
Egypt,102334404
Vietnam,97338579
Dem. Rep. Congo,89561403
Iran,83992949
Turkey,84339067
Germany,83783942
Thailand,69799978
United Kingdom,67886011
France,65273511
Italy,60461826
Tanzania,59734218
South Africa,59308690
Myanmar,54409800
Kenya,53771296
South Korea,51303688
Colombia,50882891
Spain,46754778
Uganda,45741007
Argentina,45376763
Algeria,43851044
Sudan,43849260
Ukraine,41167336
Iraq,40222493
Afghanistan,38928346
Poland,37846611
Canada,37742154
Morocco,36910560
Saudi Arabia,34813871
Uzbekistan,33469203
Peru,32971854
Angola,32866272
Malaysia,32365999
Mozambique,31255435
Ghana,31072940
Yemen,29825964
Nepal,29136808
Venezuela,28435940
Madagascar,27691018
Cameroon,26545863
C̫te d'Ivoire,26378274
North Korea,25778816
Australia,25499884
Niger,24206644
Taiwan,23155351
Sri Lanka,21413249
Burkina Faso,20903273
Mali,20250833
Romania,19237691
Malawi,19129952
Chile,19116201
Kazakhstan,18776707
Zambia,18383955
Guatemala,17915568
Ecuador,17643054
Syria,17500658
Netherlands,17134872
Kosovo,1677716
Senegal,16743927
Cambodia,16718965
Chad,16425864
Somalia,15893222
Zimbabwe,14862924
Guinea,13132795
Rwanda,12374397
Benin,12123200
Burundi,11890784
Tunisia,11818619
Bolivia,11673021
Belgium,11589623
Haiti,11402528
Cuba,11326616
S. Sudan,11193725
Dominican Rep.,10847904
Czechia,10708981
Greece,10423054
Jordan,10203134
Portugal,10196709
Azerbaijan,10139177
Sweden,10099265
Honduras,9904608
United Arab Emirates,9890402
Hungary,9660351
Tajikistan,9537642
Belarus,9449323
Austria,9006398
Papua New Guinea,8947024
Serbia,8737371
Israel,8655535
Switzerland,8654622
Togo,8278724
Sierra Leone,7976983
Hong Kong,7500700
Laos,7275560
Paraguay,7132538
Bulgaria,6948445
Lebanon,6825442
Libya,6871287
Nicaragua,6624554
El Salvador,6486201
Kyrgyzstan,6524195
Turkmenistan,6031187
Singapore,5850342
Denmark,5831404
Finland,5540720
Congo,5518087
Slovakia,5456362
Norway,5421241
Oman,5106626
Palestine,5101414
Costa Rica,5094118
Liberia,5057681
Ireland,4937786
Central African Rep.,4829767
New Zealand,4822233
Mauritania,4649658
Panama,4314768
Somaliland,4294135
Kuwait,4270563
Croatia,4105267
Georgia,3989167
Eritrea,3546000
Uruguay,3473727
Bosnia and Herz.,3280819
Mongolia,3278290
Armenia,2963243
Jamaica,2961167
Qatar,2881060
Albania,2877797
Puerto Rico,2860853
Lithuania,2722289
Moldova,2657637
Namibia,2540905
Gambia,2416668
Botswana,2351627
Gabon,2225734
Lesotho,2142249
North Macedonia,2083459
Slovenia,2078654
Guinea-Bissau,1968001
Eq. Guinea,1918277
Latvia,1886198
Bahrain,1701575
Trinidad and Tobago,1399488
Estonia,1326535
Timor-Leste,1318445
Mauritius,1271768
Cyprus,1207359
eSwatini,1160164
Djibouti,988000
Fiji,896445
Comoros,869601
Guyana,786552
Bhutan,771608
Solomon Is,686878
Luxembourg,634814
Montenegro,622359
W. Sahara,600904
Suriname,586632
Cabo Verde,555987
Malta,514564
N. Cyprus,476214
Brunei,437479
Belize,397621
Bahamas,393244
Maldives,540542
Iceland,343599
Vanuatu,307145
New Caledonia,294175
Barbados,287025
Sao Tome and Principe,219159
Samoa,198410
Saint Lucia,183627
Kiribati,119446
Grenada,112523
Saint Vincent and the Grenadines,110947
Tonga,105695
Seychelles,98340
Antigua and Barbuda,97929
Andorra,77265
Dominica Rep.,71991
Marshall Islands,59190
Greenland,55785
Saint Kitts and Nevis,53192
Monaco,39242
Liechtenstein,38128
San Marino,33931
Palau,18094
Tuvalu,11792
Nauru,10834
Falkland Is.,3469
Holy See,825